annex_code,scientific_name_original,scientific_name_corrected,page_number,remarks
BXL-ORD-2012_Annex II.2,Buprestis splendens,Buprestis splendens,52,
BXL-ORD-2012_Annex II.2,Carabus bessarabicus,Carabus bessarabicus,52,
BXL-ORD-2012_Annex II.2,Carabus hampei,Carabus hampei,52,
BXL-ORD-2012_Annex II.2,Carabus hungaricus,Carabus hungaricus,52,
BXL-ORD-2012_Annex II.2,Carabus olympiae,Carabus olympiae,52,
BXL-ORD-2012_Annex II.2,Carabus variolosus,Carabus variolosus,52,
BXL-ORD-2012_Annex II.2,Carabus zawadszkii,Carabus zawadzkii,52,removed s
BXL-ORD-2012_Annex II.2,Cerambyx cerdo,Cerambyx cerdo,52,
BXL-ORD-2012_Annex II.2,Cucujus cinnaberinus,Cucujus cinnaberinus,52,
BXL-ORD-2012_Annex II.2,Dorcadion fulvum cervae,Dorcadion fulvum cervae,52,
BXL-ORD-2012_Annex II.2,Duvalius gebhardti,Duvalius gebhardti,52,
BXL-ORD-2012_Annex II.2,Duvalius hungaricus,Duvalius hungaricus,52,
BXL-ORD-2012_Annex II.2,Dytiscus latissimus,Dytiscus latissimus,52,
BXL-ORD-2012_Annex II.2,Graphoderus bilineatus,Graphoderus bilineatus,52,
BXL-ORD-2012_Annex II.2,Leptodirus hochenwarti,Leptodirus hochenwarti,52,
BXL-ORD-2012_Annex II.2,Lucanus cervus,Lucanus cervus,52,
BXL-ORD-2012_Annex II.2,Pilemia tigrina,Pilemia tigrina,52,
BXL-ORD-2012_Annex II.2,Osmoderma eremita,Osmoderma eremita,52,
BXL-ORD-2012_Annex II.2,Phryganophilus ruficollis,Phryganophilus ruficollis,52,
BXL-ORD-2012_Annex II.2,Probaticus subrugosus,Probaticus subrugosus,52,
BXL-ORD-2012_Annex II.2,Propomacrus cypriacus,Propomacrus cypriacus,52,
BXL-ORD-2012_Annex II.2,Pseudogaurotina excellens,Pseudogaurotina excellens,52,
BXL-ORD-2012_Annex II.2,Pseudoseriscius cameroni,Pseudoseriscius cameroni,52,
BXL-ORD-2012_Annex II.2,Pytho kolwensis,Pytho kolwensis,52,
BXL-ORD-2012_Annex II.2,Rosalia alpina,Rosalia alpina,52,
BXL-ORD-2012_Annex II.2,Palingenia longicauda,Palingenia longicauda,52,
BXL-ORD-2012_Annex II.2,Apatura metis,Apatura metis,52,
BXL-ORD-2012_Annex II.2,Arytrura musculus,Arytrura musculus,52,
BXL-ORD-2012_Annex II.2,Catopta thrips,Catopta thrips,52,
BXL-ORD-2012_Annex II.2,Chondrosoma fiduciarium,Chondrosoma fiduciarium,52,
BXL-ORD-2012_Annex II.2,Coenonympha hero,Coenonympha hero,52,
BXL-ORD-2012_Annex II.2,Coenonympha oedippus,Coenonympha oedippus,53,
BXL-ORD-2012_Annex II.2,Colias myrmidone,Colias myrmidone,53,
BXL-ORD-2012_Annex II.2,Cucullia mixta,Cucullia mixta,53,
BXL-ORD-2012_Annex II.2,Dioszeghyana schmidtii,Dioszeghyana schmidtii,53,
BXL-ORD-2012_Annex II.2,Erannis ankeraria,Erannis ankeraria,53,
BXL-ORD-2012_Annex II.2,Erebia calcaria,Erebia calcaria,53,
BXL-ORD-2012_Annex II.2,Erebia christi,Erebia christi,53,
BXL-ORD-2012_Annex II.2,Erebia sudetica,Erebia sudetica,53,
BXL-ORD-2012_Annex II.2,Eriogaster catax,Eriogaster catax,53,
BXL-ORD-2012_Annex II.2,Euphydryas (Eurodryas) aurinia,Euphydryas (Eurodryas) aurinia,53,
BXL-ORD-2012_Annex II.2,Fabriciana elisa,Fabriciana elisa,53,
BXL-ORD-2012_Annex II.2,Glyphipterix loricatella,Glyphipterix loricatella,53,
BXL-ORD-2012_Annex II.2,Gortyna borelii lunata,Gortyna borelii lunata,53,
BXL-ORD-2012_Annex II.2,Hyles hippophaes,Hyles hippophaes,53,
BXL-ORD-2012_Annex II.2,Hypodryas maturna,Hypodryas maturna,53,
BXL-ORD-2012_Annex II.2,Leptidea morsei,Leptidea morsei,53,
BXL-ORD-2012_Annex II.2,Lignyoptera fumidaria,Lignyoptera fumidaria,53,
BXL-ORD-2012_Annex II.2,Lopinga achine,Lopinga achine,53,
BXL-ORD-2012_Annex II.2,Lyeaena dispar,Lyeaena dispar,53,
BXL-ORD-2012_Annex II.2,Lycaena helle,Lycaena helle,53,
BXL-ORD-2012_Annex II.2,Maculinea arion,Maculinea arion,53,
BXL-ORD-2012_Annex II.2,Maculinea nausithous,Maculinea nausithous,53,
BXL-ORD-2012_Annex II.2,Maculinea teleius,Maculinea teleius,53,
BXL-ORD-2012_Annex II.2,Melanargia arge,Melanargia arge,53,
BXL-ORD-2012_Annex II.2,Nymphalis vaualbum,Nymphalis vaualbum,53,
BXL-ORD-2012_Annex II.2,Papilio alexanor,Papilio alexanor,53,
BXL-ORD-2012_Annex II.2,Papilio hospiton,Papilio hospiton,53,
BXL-ORD-2012_Annex II.2,Parnassius apollo,Parnassius apollo,53,
BXL-ORD-2012_Annex II.2,Parnassius mnemosyne,Parnassius mnemosyne,53,
BXL-ORD-2012_Annex II.2,Phyllometra culminaria,Phyllometra culminaria,53,
BXL-ORD-2012_Annex II.2,Plebicula golgus,Plebicula golgus,53,
BXL-ORD-2012_Annex II.2,Polymixis rufocincta isolata,Polymixis rufocincta isolata,53,
BXL-ORD-2012_Annex II.2,Polyommatus eroides,Polyommatus eroides,53,
BXL-ORD-2012_Annex II.2,Polyommatus gallo,Polyommatus gallo,53,
BXL-ORD-2012_Annex II.2,Polyommatus humedasae,Polyommatus humedasae,53,
BXL-ORD-2012_Annex II.2,Proserpinus proserpina,Proserpinus proserpina,53,
BXL-ORD-2012_Annex II.2,Pseudophilotes bavius,Pseudophilotes bavius,53,
BXL-ORD-2012_Annex II.2,Xylomoia strix,Xylomoia strix,53,
BXL-ORD-2012_Annex II.2,Zerynthia polyxena,Zerynthia polyxena,53,
BXL-ORD-2012_Annex II.2,Apteromantis aptera,Apteromantis aptera,53,
BXL-ORD-2012_Annex II.2,Aeshna viridis,Aeshna viridis,53,
BXL-ORD-2012_Annex II.2,Brachythemis fuscopalliata,Brachythemis fuscopalliata,53,
BXL-ORD-2012_Annex II.2,Calopteryx syriaca,Calopteryx syriaca,53,
BXL-ORD-2012_Annex II.2,Coenagrion freyi,Coenagrion freyi,53,
BXL-ORD-2012_Annex II.2,Coenagrion mercuriale,Coenagrion mercuriale,53,
BXL-ORD-2012_Annex II.2,Cordulegaster heros,Cordulegaster heros,53,
BXL-ORD-2012_Annex II.2,Cordulegaster trinacriae,Cordulegaster trinacriae,53,
BXL-ORD-2012_Annex II.2,Gomphus graslinii,Gomphus graslinii,53,
BXL-ORD-2012_Annex II.2,Leucorrhinia albifrons,Leucorrhinia albifrons,53,
BXL-ORD-2012_Annex II.2,Leucorrhinia caudalis,Leucorrhinia caudalis,53,
BXL-ORD-2012_Annex II.2,Leucorrhinia pectoralis,Leucorrhinia pectoralis,53,
BXL-ORD-2012_Annex II.2,Lindenia tetraphylla,Lindenia tetraphylla,53,
BXL-ORD-2012_Annex II.2,Macromia splendens,Macromia splendens,53,
BXL-ORD-2012_Annex II.2,Ophiogomphus cecilia,Ophiogomphus cecilia,53,
BXL-ORD-2012_Annex II.2,Oxygastra curtisii,Oxygastra curtisii,53,
BXL-ORD-2012_Annex II.2,Stylurus flavipes,Stylurus flavipes,53,
BXL-ORD-2012_Annex II.2,Sympecma braueri,Sympecma braueri,53,
BXL-ORD-2012_Annex II.2,Baetica ustulata,Baetica ustulata,53,
BXL-ORD-2012_Annex II.2,Brachytrupes megacephalus,Brachytrupes megacephalus,53,
BXL-ORD-2012_Annex II.2,Isophya costata,Isophya costata,53,
BXL-ORD-2012_Annex II.2,Isophya harzi,Isophya harzi,53,
BXL-ORD-2012_Annex II.2,Isophya stysi,Isophya stysi,53,
BXL-ORD-2012_Annex II.2,Myrmecophilus baron,Myrmecophilus baron,54,
BXL-ORD-2012_Annex II.2,Odontopodisma rubripes,Odontopodisma rubripes,54,
BXL-ORD-2012_Annex II.2,Paracaloptenus caloptenoides,Paracaloptenus caloptenoides,54,
BXL-ORD-2012_Annex II.2,Pholidoptera transsylvanica,Pholidoptera transsylvanica,54,
BXL-ORD-2012_Annex II.2,Saga pedo,Saga pedo,54,
BXL-ORD-2012_Annex II.2,Stenobothrus (Stenobothrodes) eurasius,Stenobothrus (Stenobothrodes) eurasius,54,
BXL-ORD-2012_Annex II.2,Macrothele calpeiana,Macrothele calpeiana,54,
BXL-ORD-2012_Annex II.2,Ocypode cursor,Ocypode cursor,54,
BXL-ORD-2012_Annex II.2,Pachyplasma giganteum,Pachyplasma giganteum,54,
BXL-ORD-2012_Annex II.2,Armadilliditum ghardalamensis,Armadilliditum ghardalamensis,54,
BXL-ORD-2012_Annex II.2,Astroides calycularis,Astroides calycularis,54,
BXL-ORD-2012_Annex II.2,Gerardia savaglia,Gerardia savaglia,54,
BXL-ORD-2012_Annex II.2,Errina aspera,Errina aspera,54,
BXL-ORD-2012_Annex II.2,Asterina pancerii,Asterina pancerii,54,
BXL-ORD-2012_Annex II.2,Ophidiaster ophidianus,Ophidiaster ophidianus,54,
BXL-ORD-2012_Annex II.2,Centrostephanus longispinus,Centrostephanus longispinus,54,
BXL-ORD-2012_Annex II.2,Aplysina cavernicola,Aplysina cavernicola,54,
BXL-ORD-2012_Annex II.2,Asbestophluma hypogea,Asbestopluma hypogea,54,removed h
BXL-ORD-2012_Annex II.2,Axinelle polyploides,Axinelle polyploides,54,
BXL-ORD-2012_Annex II.2,Petrobiona massiliana (Med. ),Petrobiona massiliana,54,removed (Med.)
BXL-ORD-2012_Annex II.2,Gibbula nivosa,Gibbula nivosa,54,
BXL-ORD-2012_Annex II.2,Patella ferruginea,Patella ferruginea,54,
BXL-ORD-2012_Annex II.2,Patella nigra,Patella nigra,54,
BXL-ORD-2012_Annex II.2,Anisus vorticulus,Anisus vorticulus,55,
BXL-ORD-2012_Annex II.2,Charonia rubicunda,Charonia rubicunda,55,
BXL-ORD-2012_Annex II.2,Charonia tritonis,Charonia tritonis,55,
BXL-ORD-2012_Annex II.2,Dendropoma petraeum,Dendropoma petraeum,55,
BXL-ORD-2012_Annex II.2,Erosaria spurca,Erosaria spurca,55,
BXL-ORD-2012_Annex II.2,Luria lurida,Luria lurida,55,
BXL-ORD-2012_Annex II.2,Mitra zonata,Mitra zonata,55,
BXL-ORD-2012_Annex II.2,Ranella olearia,Ranella olearia,55,
BXL-ORD-2012_Annex II.2,Schilderia achatidea,Schilderia achatidea,55,
BXL-ORD-2012_Annex II.2,Tonna galea,Tonna galea,55,
BXL-ORD-2012_Annex II.2,Zonaria pyrum,Zonaria pyrum,55,
BXL-ORD-2012_Annex II.2,Caseolus calculus,Caseolus calculus,55,
BXL-ORD-2012_Annex II.2,Caseolus commixta,Caseolus commixta,55,
BXL-ORD-2012_Annex II.2,Caseolus sphaerula,Caseolus sphaerula,55,
BXL-ORD-2012_Annex II.2,Chilostoma banaticum,Chilostoma banaticum,55,
BXL-ORD-2012_Annex II.2,Discula leacockiana,Discula leacockiana,55,
BXL-ORD-2012_Annex II.2,Discula tabellata,Discula tabellata,55,
BXL-ORD-2012_Annex II.2,Discula testudinalis,Discula testudinalis,55,
BXL-ORD-2012_Annex II.2,Discula turricula,Discula turricula,55,
BXL-ORD-2012_Annex II.2,Discus defloratus,Discus defloratus,55,
BXL-ORD-2012_Annex II.2,Discus guerinianus,Discus guerinianus,55,
BXL-ORD-2012_Annex II.2,Elona quimperiana,Elona quimperiana,55,
BXL-ORD-2012_Annex II.2,Geomalacus maculosus,Geomalacus maculosus,55,
BXL-ORD-2012_Annex II.2,Geomitra moniziana,Geomitra moniziana,55,
BXL-ORD-2012_Annex II.2,Helix subplicata,Helix subplicata,55,
BXL-ORD-2012_Annex II.2,Hygromia kovacsi,Hygromia kovacsi,55,
BXL-ORD-2012_Annex II.2,Idiomela (Helix) subplicata,Idiomela (Helix) subplicata,55,
BXL-ORD-2012_Annex II.2,Lampedusa imitatrix,Lampedusa imitatrix,55,
BXL-ORD-2012_Annex II.2,Lampedusa melitensis,Lampedusa melitensis,55,
BXL-ORD-2012_Annex II.2,Leiostyla abbreviata,Leiostyla abbreviata,55,
BXL-ORD-2012_Annex II.2,Leiostyla cassida,Leiostyla cassida,55,
BXL-ORD-2012_Annex II.2,Leiostyla corneocostata,Leiostyla corneocostata,55,
BXL-ORD-2012_Annex II.2,Leiostyla gibba,Leiostyla gibba,55,
BXL-ORD-2012_Annex II.2,Leiostyla lamellosa,Leiostyla lamellosa,55,
BXL-ORD-2012_Annex II.2,Paladilhia hungarica,Paladilhia hungarica,55,
BXL-ORD-2012_Annex II.2,Sadleriana pannonica,Sadleriana pannonica,55,
BXL-ORD-2012_Annex II.2,Theodoxus prevostianus,Theodoxus prevostianus,55,
BXL-ORD-2012_Annex II.2,Theodoxus transversalis,Theodoxus transversalis,55,
BXL-ORD-2012_Annex II.2,Vertigo angustio,Vertigo angustio,55,
BXL-ORD-2012_Annex II.2,Lithophaga lithophaga,Lithophaga lithophaga,55,
BXL-ORD-2012_Annex II.2,Pinna nobilis,Pinna nobilis,55,
BXL-ORD-2012_Annex II.2,Pholas dactylus,Pholas dactylus,55,
BXL-ORD-2012_Annex II.2,Margaritifera auricularia,Margaritifera auricularia,55,
BXL-ORD-2012_Annex II.2,Unio crassus,Unio crassus,55,
BXL-ORD-2012_Annex II.2,Congeria kusceri,Congeria kusceri,55,
BXL-ORD-2012_Annex II.2,Asplenium adiantum nigrum,Asplenium adiantum nigrum,56,
BXL-ORD-2012_Annex II.2,Asplenium adulterinum Milde,Asplenium adulterinum Milde,56,
BXL-ORD-2012_Annex II.2,Asplenium cetrach,Asplenium cetrach,56,
BXL-ORD-2012_Annex II.2,Asplenium hemionitis L.,Asplenium hemionitis L.,56,
BXL-ORD-2012_Annex II.2,Asplenium jahandiezii (Litard.) Rouy,Asplenium jahandiezii (Litard.) Rouy,56,
BXL-ORD-2012_Annex II.2,Woodwardia radicans (L.) Sm.,Woodwardia radicans (L.) Sm.,56,
BXL-ORD-2012_Annex II.2,Culcita macrocarpa C. Presl,Culcita macrocarpa C. Presl,56,
BXL-ORD-2012_Annex II.2,Diplazium sibiricum (Turez. ex Kunze) Kurata,Diplazium sibiricum (Turez. ex Kunze) Kurata,56,
BXL-ORD-2012_Annex II.2,Dryopteris corleyi Frase,Dryopteris corleyi Frase,56,
BXL-ORD-2012_Annex II.2,Dryopteris fragans (L.) Schott,Dryopteris fragans (L.) Schott,56,
BXL-ORD-2012_Annex II.2,Trichomanes speciosum Willd.,Trichomanes speciosum Willd.,56,
BXL-ORD-2012_Annex II.2,Isoetes boryana Durieu,Isoetes boryana Durieu,56,
BXL-ORD-2012_Annex II.2,Isoetes malinverniana Ces. & De Not.,Isoetes malinverniana Ces. & De Not.,56,
BXL-ORD-2012_Annex II.2,Marsilea batardae Launert,Marsilea batardae Launert,56,
BXL-ORD-2012_Annex II.2,Marsilea quadrifolia L.,Marsilea quadrifolia L.,56,
BXL-ORD-2012_Annex II.2,Marsilea strigosa Willd.,Marsilea strigosa Willd.,56,
BXL-ORD-2012_Annex II.2,Pilularia minuta Durieu ex. Braun,Pilularia minuta Durieu ex. Braun,56,
BXL-ORD-2012_Annex II.2,Botrychium matricarifolium A. Braun ex Koch,Botrychium matricarifolium A. Braun ex Koch,56,
BXL-ORD-2012_Annex II.2,Botrychium multifidum (S. G. Gmelin) Rupr.,Botrychium multifidum (S. G. Gmelin) Rupr.,56,
BXL-ORD-2012_Annex II.2,Botrychium simplex Hitche.,Botrychium simplex Hitche.,56,
BXL-ORD-2012_Annex II.2,Ophioglossum polyphyllum A. Braun,Ophioglossum polyphyllum A. Braun,56,
BXL-ORD-2012_Annex II.2,Osmunda regalis L.,Osmunda regalis L.,56,
BXL-ORD-2012_Annex II.2,Polystichum aculeatum,Polystichum aculeatum,56,
BXL-ORD-2012_Annex II.2,Cryptogramma crispa (L.),Cryptogramma crispa (L.),57,
BXL-ORD-2012_Annex II.2,Salvinia natans (L.) All.,Salvinia natans (L.) All.,57,
BXL-ORD-2012_Annex II.2,Tetraclinis articulata (vahl) Masters,Tetraclinis articulata (vahl) Masters,57,
BXL-ORD-2012_Annex II.2,Abies nebrodensis (Lojac.) Mattei,Abies nebrodensis (Lojac.) Mattei,57,
BXL-ORD-2012_Annex II.2,Dracaena draco (L.) L.,Dracaena draco (L.) L.,57,
BXL-ORD-2012_Annex II.2,Alisma wahlenbergii (Holmberg) Juz.,Alisma wahlenbergii (Holmberg) Juz.,57,
BXL-ORD-2012_Annex II.2,Caldesia parnassifolia (L.) Parl.,Caldesia parnassifolia (L.) Parl.,57,
BXL-ORD-2012_Annex II.2,Luronium natans (L.) Raf.,Luronium natans (L.) Raf.,57,
BXL-ORD-2012_Annex II.2,Leucojum aestivum L.,Leucojum aestivum L.,57,
BXL-ORD-2012_Annex II.2,Leucojum nicaeense Ard.,Leucojum nicaeense Ard.,57,
BXL-ORD-2012_Annex II.2,Leucojum vernum L.,Leucojum vernum L.,57,
BXL-ORD-2012_Annex II.2,Narcissus angustifolius Curt.,Narcissus angustifolius Curt.,57,
BXL-ORD-2012_Annex II.2,Narcissus asturiensis (Jordan) Pugsley,Narcissus asturiensis (Jordan) Pugsley,57,
BXL-ORD-2012_Annex II.2,Narcissus calcicola Mendonga,Narcissus calcicola Mendonga,57,
BXL-ORD-2012_Annex II.2,Narcissus cyclamineus DC.,Narcissus cyclamineus DC.,57,
BXL-ORD-2012_Annex II.2,Narcissus fernandesi G.Pedro,Narcissus fernandesi G.Pedro,57,
BXL-ORD-2012_Annex II.2,Narcissus humilis (Cav.) Traub,Narcissus humilis (Cav.) Traub,57,
BXL-ORD-2012_Annex II.2,Narcissus longispathus Pugsley,Narcissus longispathus Pugsley,57,
BXL-ORD-2012_Annex II.2,Narcissus nevadensis Pugsley,Narcissus nevadensis Pugsley,57,
BXL-ORD-2012_Annex II.2,Narcissus pseudonarcissus L. subsp. nobilis (Haw.) A. Fernandez,Narcissus pseudonarcissus L. subsp. nobilis (Haw.) A. Fernandez,57,
BXL-ORD-2012_Annex II.2,Narcissus scaberulus Henriq.,Narcissus scaberulus Henriq.,57,
BXL-ORD-2012_Annex II.2,Narcissus triandrus L.,Narcissus triandrus L.,57,
BXL-ORD-2012_Annex II.2,Narcissus triandrus L. subsp. capax (Salisb.) D. A. Webb.,Narcissus triandrus L. subsp. capax (Salisb.) D. A. Webb.,57,
BXL-ORD-2012_Annex II.2,Narcissus viridiflorus Schousboe,Narcissus viridiflorus Schousboe,57,
BXL-ORD-2012_Annex II.2,Sternbergia candida B.Mathew & Baytop,Sternbergia candida B.Mathew & Baytop,57,
BXL-ORD-2012_Annex II.2,Eryngium maritimum L.,Eryngium maritimum L.,57,
BXL-ORD-2012_Annex II.2,Rhazya orientalis (decaisne) a.de.,Rhazya orientalis (decaisne) a.de.,57,
BXL-ORD-2012_Annex II.2,Arum purpureospathum Boyce,Arum purpureospathum Boyce,57,
BXL-ORD-2012_Annex II.2,Calla palustris L.,Calla palustris L.,57,
BXL-ORD-2012_Annex II.2,Stratiotes aloides L.,Stratiotes aloides L.,57,
BXL-ORD-2012_Annex II.2,Aristolochia clematitis,Aristolochia clematitis,57,
BXL-ORD-2012_Annex II.2,Aristolochia samsunensis Davis,Aristolochia samsunensis Davis,57,
BXL-ORD-2012_Annex II.2,Vincetoxicum pannonicum (borhidi) holub,Vincetoxicum pannonicum (borhidi) holub,58,
BXL-ORD-2012_Annex II.2,Arnica Montana L.,Arnica Montana L.,58,
BXL-ORD-2012_Annex II.2,Artemisia alba Turra,Artemisia alba Turra,58,
BXL-ORD-2012_Annex II.2,Artemisia campestris L.,Artemisia campestris L.,58,
BXL-ORD-2012_Annex II.2,Centaurea Montana L.,Centaurea Montana L.,58,
BXL-ORD-2012_Annex II.2,Helichrysum arenarium (L.),Helichrysum arenarium (L.),58,
BXL-ORD-2012_Annex II.2,Berberis maderensis Lowe,Berberis maderensis Lowe,58,
BXL-ORD-2012_Annex II.2,Alkanna pinardii Boiss.,Alkanna pinardii Boiss.,58,
BXL-ORD-2012_Annex II.2,Anchusa crispa Viv.,Anchusa crispa Viv.,58,
BXL-ORD-2012_Annex II.2,Echium russicum J.F.Gemlin,Echium russicum J.F.Gemlin,58,
BXL-ORD-2012_Annex II.2,Lithodora nitida (H. Ern) R. Fernandes,Lithodora nitida (H. Ern) R. Fernandes,58,
BXL-ORD-2012_Annex II.2,Myosotis lusitanica Schuster,Myosotis lusitanica Schuster,58,
BXL-ORD-2012_Annex II.2,Myosotis praecox Hulphers,Myosotis praecox Hulphers,58,
BXL-ORD-2012_Annex II.2,Myosotis rehsteinert Wartm.,Myosotis rehsteinert Wartm.,58,
BXL-ORD-2012_Annex II.2,Myosotis retusifolia R. Afons,Myosotis retusifolia R. Afons,58,
BXL-ORD-2012_Annex II.2,Omphalodes kuzinskyana Willk.,Omphalodes kuzinskyana Willk.,58,
BXL-ORD-2012_Annex II.2,Omphalodes littoralis Lehm.,Omphalodes littoralis Lehm.,58,
BXL-ORD-2012_Annex II.2,Onosma halophilum Boiss. & Heldr.,Onosma halophilum Boiss. & Heldr.,58,
BXL-ORD-2012_Annex II.2,Onosma polyphylla Lebed.,Onosma polyphylla Lebed.,58,
BXL-ORD-2012_Annex II.2,Onosma proponticum Aznav.,Onosma proponticum Aznav.,58,
BXL-ORD-2012_Annex II.2,Onosma tornensis Javorka,Onosma tornensis Javorka,58,
BXL-ORD-2012_Annex II.2,Onosma troodi Kotschy,Onosma troodi Kotschy,58,
BXL-ORD-2012_Annex II.2,Solenanthus albanicus (Degen & al.) Degen & Baldacci,Solenanthus albanicus (Degen & al.) Degen & Baldacci,58,
BXL-ORD-2012_Annex II.2,Symphytum cycladense Pawl.,Symphytum cycladense Pawl.,58,
BXL-ORD-2012_Annex II.2,Adenophora lilifolia (L.) Ledeb.,Adenophora lilifolia (L.) Ledeb.,58,
BXL-ORD-2012_Annex II.2,Asyneuma giganteum (Boiss.) Bornm.,Asyneuma giganteum (Boiss.) Bornm.,58,
BXL-ORD-2012_Annex II.2,Campanula abietina Griseb. et Schenk.,Campanula abietina Griseb. et Schenk.,58,
BXL-ORD-2012_Annex II.2,Campanula bohemica Hruby,Campanula bohemica Hruby,58,
