annex_code,scientific_name_original,scientific_name_corrected,page_number,remarks
BXL-ORD-2012_Annex II.1,Barbastella barbastellus,Barbastella barbastellus,48,
BXL-ORD-2012_Annex II.1,Myotis bechsteini,Myotis bechsteini,48,
BXL-ORD-2012_Annex II.1,Myotis dasycneme,Myotis dasycneme,48,
BXL-ORD-2012_Annex II.1,Myotis emarginatus,Myotis emarginatus,48,
BXL-ORD-2012_Annex II.1,Myotis Myotis,Myotis myotis,48,decapitalize myotis
BXL-ORD-2012_Annex II.1,Rhinolophus ferrumequinum,Rhinolophus ferrumequinum,48,
BXL-ORD-2012_Annex II.1,Rhodeus sericeus amarus,Rhodeus sericeus amarus,48,
BXL-ORD-2012_Annex II.1,Lucanus cervus,Lucanus cervus,48,
BXL-ORD-2012_Annex II.1,Vertigo angustior,Vertigo angustior,48,
BXL-ORD-2012_Annex II.1,Vertigo moulinsiana,Vertigo moulinsiana,48,
BXL-ORD-2012_Annex II.1,Mergus albellus,Mergus albellus,48,
BXL-ORD-2012_Annex II.1,Pernis apivorus,Pernis apivorus,48,
BXL-ORD-2012_Annex II.1,Falco peregrinus,Falco peregrinus,48,
BXL-ORD-2012_Annex II.1,Caprimulgus europacus,Caprimulgus europaeus,48,Change c to e
BXL-ORD-2012_Annex II.1,Alcedo atthis,Alcedo atthis,48,
BXL-ORD-2012_Annex II.1,Dendrocopos martius,Dryocopus martius,48,
BXL-ORD-2012_Annex II.1,Dendrocopos medius,Dendrocopos medius,48,
BXL-ORD-2012_Annex II.2,Alle europese soorten Mammalia,,50,
BXL-ORD-2012_Annex II.2,Barbastella barbastellus,Barbastella barbastellus,50,
BXL-ORD-2012_Annex II.2,Eptesicus serotinus,Eptesicus serotinus,50,
BXL-ORD-2012_Annex II.2,Myotis bechsteinii,Myotis bechsteinii,50,
BXL-ORD-2012_Annex II.2,Myotis brandtii,Myotis brandtii,50,
BXL-ORD-2012_Annex II.2,Myotis dasycneme,Myotis dasycneme,50,
BXL-ORD-2012_Annex II.2,Myotis daubentoni,Myotis daubentoni,50,
BXL-ORD-2012_Annex II.2,Myotis emarginatus,Myotis emarginatus,50,
BXL-ORD-2012_Annex II.2,Myotis myotis,Myotis myotis,50,
BXL-ORD-2012_Annex II.2,Myotis mystacinus,Myotis mystacinus,50,
BXL-ORD-2012_Annex II.2,Myotis nattereri,Myotis nattereri,50,
BXL-ORD-2012_Annex II.2,Nyctalus leisleri,Nyctalus leisleri,50,
BXL-ORD-2012_Annex II.2,Nyctalus noctula,Nyctalus noctula,50,
BXL-ORD-2012_Annex II.2,Pipistrellus nathusii,Pipistrellus nathusii,50,
BXL-ORD-2012_Annex II.2,Pipistrellus pipistrellus,Pipistrellus pipistrellus,50,
BXL-ORD-2012_Annex II.2,Pipistrellus pygmacus,Pipistrellus pygmacus,50,
BXL-ORD-2012_Annex II.2,Plecotus auritus,Plecotus auritus,50,
BXL-ORD-2012_Annex II.2,Plecotus austriacus,Plecotus austriacus,50,
BXL-ORD-2012_Annex II.2,Alle Europese soorten Aves,,50,
BXL-ORD-2012_Annex II.2,Alle Europese soorten Reptilia,,51,
BXL-ORD-2012_Annex II.2,Alle Europese soorten Amphibia,,51,
BXL-ORD-2012_Annex II.2,Acipenser naccarii,Acipenser naccarii,51,
BXL-ORD-2012_Annex II.2,Acipenser sturio,Acipenser sturio,51,
BXL-ORD-2012_Annex II.2,Huso huso,Huso huso,51,
BXL-ORD-2012_Annex II.2,Aphanius faciatus,Aphianus fasciatus,51,Aphianus instead of Aphanius and added s: fasciatus instead of faciatus
BXL-ORD-2012_Annex II.2,Aphanius iberus,Aphanius iberus,51,
BXL-ORD-2012_Annex II.2,Valencia hispanica,Valencia hispanica,51,
BXL-ORD-2012_Annex II.2,Valencia leutoruneuxi,Valencia letourneuxi,51,letour instead of leutoru
BXL-ORD-2012_Annex II.2,Anaecypris hispanica,Anaecypris hispanica,51,
BXL-ORD-2012_Annex II.2,Phoxinus percnurus,Phoxinus percnurus,51,
BXL-ORD-2012_Annex II.2,Rhodeus sericeus amarus,Rhodeus sericeus amarus,51,
BXL-ORD-2012_Annex II.2,Umbra krameri,Umbra krameri,51,
BXL-ORD-2012_Annex II.2,Hippocampus hippocampus,Hippocampus hippocampus,51,
BXL-ORD-2012_Annex II.2,Hippocampus ramulosus,Hippocampus ramulosus,51,
BXL-ORD-2012_Annex II.2,Cetorhinus maximus,Cetorhinus maximus,51,
BXL-ORD-2012_Annex II.2,Carcharodon carcharias,Carcharodon carcharias,51,
BXL-ORD-2012_Annex II.2,Gymnocephalus baloni,Gymnocephalus baloni,51,
BXL-ORD-2012_Annex II.2,Romanichtys valsanicola,Romanichthys valsanicola,51,added h
BXL-ORD-2012_Annex II.2,Zingel asper,Zingel asper,51,
BXL-ORD-2012_Annex II.2,Pomatoschistus canestrini,Pomatoschistus canestrini,52,
BXL-ORD-2012_Annex II.2,Pomatoschistus tortonesi (Med. ),Pomatoschistus tortonesi,52,removed (Med.)
BXL-ORD-2012_Annex II.2,Lethenteron zanandrai,Lethenteron zanandreai,52,added e
BXL-ORD-2012_Annex II.2,Mobula mobular,Mobula mobular,52,
BXL-ORD-2012_Annex II.2,Coregonus oxyrhynchus (anadrome populaties in bepaalde sectoren van de Noordzee),,52,
BXL-ORD-2012_Annex II.2,Bolbelasmus unicornis,Bolbelasmus unicornis,52,
